,a casa de,a el cielo,a el contrario,a el de,a el día,a el entrar,a el escuchar,a el fin,a el general,a el hombre,a el instante,a el joven,a el lado,a el llegar,a el menos,a el mismo,a el momento,a el mundo,a el otro,a el oído,a el oír,a el parecer,a el pasar,a el pie,a el principio,a el pueblo,a el punto,a el que,a el salir,a el señor,a el suelo,a el través,a el ver,a el y,a la cabeza,a la calle,a la casa,a la ciudad,a la de,a la hora,a la joven,a la luz,a la mesa,a la mujer,a la puerta,a la que,a la sala,a la sazón,a la señora,a la vida,a la vista,a lo que,a los dos,a los ojos,a los pies,a los que,a mí me,a que se,a su casa,a su hija,a su hijo,a su lado,a su padre,a su vez,a todos los,a un hombre,a uno de,a ver a,a y a,así es que,cada uno de,cada vez más,cada vez que,casa de el,casa de la,cerca de el,cerca de la,con la cabeza,con la mano,con la mayor,con lo que,con los ojos,con que se,con toda la,de a el,de el alma,de el amor,de el brazo,de el camino,de el campo,de el cielo,de el conde,de el corazón,de el de,de el día,de el ejército,de el general,de el gobierno,de el hombre,de el joven,de el mar,de el mismo,de el mundo,de el otro,de el padre,de el país,de el pueblo,de el que,de el señor,de el sol,de el todo,de el y,de la calle,de la casa,de la ciudad,de la de,de la familia,de la hacienda,de la iglesia,de la joven,de la madre,de la mano,de la mesa,de la misma,de la muerte,de la mujer,de la naturaleza,de la noche,de la patria,de la plaza,de la puerta,de la que,de la sala,de la señora,de la sociedad,de la tierra,de la vida,de la y,de las que,de lo que,de los dos,de los hombres,de los más,de los que,de manera que,de mi alma,de mi corazón,de mi padre,de mi vida,de oro y,de que el,de que era,de que la,de que no,de que se,de su alma,de su casa,de su corazón,de su hija,de su hijo,de su madre,de su padre,de su vida,de sus ojos,de todas las,de todos los,de un hombre,de un modo,de una manera,de una mujer,de una vez,de uno de,de y de,de y el,de y la,de y que,dijo a el,dirigiendo se a,dos o tres,día en que,el alma de,el amor de,el brazo de,el camino de,el centro de,el conde de,el corazón de,el cuarto de,el cuerpo de,el de el,el de la,el deseo de,el día de,el día en,el día que,el día siguiente,el estado de,el extremo de,el fin de,el fondo de,el hijo de,el hombre de,el hombre que,el honor de,el jefe de,el lado de,el llegar a,el mismo tiempo,el momento de,el momento en,el mundo y,el nombre de,el objeto de,el padre de,el peso de,el pie de,el punto de,el que no,el que se,el recuerdo de,el resto de,el rostro de,el ruido de,el seno de,el través de,el ver la,en aquel momento,en casa de,en el acto,en el alma,en el camino,en el campo,en el centro,en el corazón,en el fondo,en el mismo,en el momento,en el mundo,en el patio,en el pecho,en el que,en el suelo,en ese momento,en este momento,en la cabeza,en la calle,en la casa,en la ciudad,en la frente,en la mano,en la mesa,en la misma,en la noche,en la plaza,en la puerta,en la que,en la sala,en la tierra,en la vida,en lo que,en nombre de,en presencia de,en que el,en que la,en que no,en que se,en su casa,en su corazón,en sus brazos,en sus manos,en toda la,en todas partes,en todos los,en una de,en uno de,en voz baja,es lo que,es preciso que,es que no,es verdad que,ha de ser,hora en que,la a el,la bondad de,la cabeza de,la cabeza y,la calle de,la calle y,la casa de,la casa y,la causa de,la de el,la de la,la entrada de,la esperanza de,la esposa de,la familia de,la fuerza de,la hija de,la historia de,la hora de,la idea de,la llegada de,la luz de,la madre de,la mano a,la mano de,la mano y,la mayor parte,la mitad de,la muerte de,la mujer que,la noche de,la noche y,la presencia de,la primera vez,la puerta de,la puerta y,la que se,la señora de,la sombra de,la vida de,la vida y,la vista de,la voz de,lado de el,lado de la,las manos de,las palabras de,las personas que,las puertas de,le a el,le dijo a,llegar a el,llegar a la,lo mismo que,lo que es,lo que ha,lo que había,lo que le,lo que me,lo que no,lo que pasaba,lo que se,lo que yo,lo único que,los brazos de,los de el,los de la,los ojos de,los ojos y,los pies de,los que se,luz de el,mayor parte de,me parece que,momento en que,más de lo,más de una,más o menos,más que el,más que un,más y más,no es verdad,no ha de,no hay que,no puede ser,no se había,no se le,no sé qué,nombre de el,otra cosa que,para ir a,para que la,para que no,para que se,parte de el,parte de la,pero a el,por la calle,por lo mismo,por lo que,por más que,por otra parte,por primera vez,por qué no,por su parte,por todas partes,puerta de el,puerta de la,que a el,que a la,que acababa de,que el de,que en el,que en la,que en su,que era el,que era un,que es el,que es la,que es un,que había sido,que iba a,que la de,que le había,que lo que,que me ha,que no era,que no es,que no había,que no le,que no lo,que no me,que no podía,que no se,que se ha,que se había,que se habían,que se hallaba,que se le,que se les,que se llama,que se me,que si no,que va a,que ya no,que yo no,salió de la,se a el,se a la,se a los,se a su,se acercó a,se apresuró a,se con el,se con la,se de el,se de la,se de su,se dirigió a,se en el,se en la,se en su,se puso a,se puso en,se trata de,sobre la mesa,todo el mundo,todo lo que,todos los días,todos los que,un hombre de,un hombre que,un momento de,un par de,un poco de,una de esas,una de las,una de sus,una especie de,uno de ellos,uno de esos,uno de los,uno de sus,y a el,y a la,y a las,y a los,y a su,y con el,y con la,y de el,y de la,y de las,y de los,y de su,y de sus,y en el,y en la,y en las,y en los,y en su,y le dijo,y lo que,y no se,y por eso,y por la,y por qué,y que la,y que no,y que se,y se dirigió,y se puso,y si no,y sin embargo,y sobre todo,y volvió a,yo no puedo,yo no sé
nh0049,0,6,0,2,11,6,8,26,0,13,1,5,25,12,13,12,2,2,9,1,3,5,2,7,13,1,1,14,4,7,0,13,21,5,5,39,75,3,3,6,15,7,3,4,27,8,2,1,6,1,2,11,11,1,8,8,4,7,25,18,7,22,4,3,8,14,16,14,29,11,4,4,2,45,12,7,18,1,2,6,6,7,1,5,5,7,6,4,0,0,13,0,7,3,14,0,0,2,11,12,0,7,8,5,2,3,0,13,4,6,2,13,22,98,36,3,11,2,0,18,2,12,6,10,5,8,1,15,0,3,10,10,11,3,2,9,6,3,6,57,5,4,5,15,10,4,4,7,8,4,3,7,9,17,9,4,19,3,16,2,3,15,1,3,7,9,11,1,9,5,1,7,27,9,7,6,20,18,7,16,15,10,8,4,4,1,7,4,4,6,5,3,12,11,8,13,3,4,5,10,1,8,31,3,2,35,7,7,9,9,5,7,7,12,1,8,2,9,11,3,6,11,19,2,13,3,4,6,2,4,1,1,5,5,12,8,15,20,8,2,13,21,0,47,10,29,72,12,1,15,1,13,9,7,20,9,6,4,7,10,10,1,7,8,4,14,15,3,9,0,6,3,3,15,12,8,11,18,3,3,2,1,2,4,11,14,33,22,169,18,7,2,7,8,6,15,8,5,8,13,10,14,4,12,9,10,15,5,4,2,6,13,13,5,4,1,30,22,5,1,6,2,3,3,6,10,8,14,11,5,11,1,1,5,3,7,17,7,18,4,23,5,2,32,12,2,19,3,5,10,10,9,3,5,4,7,13,9,2,4,4,2,3,1,3,5,7,2,3,4,3,3,2,2,8,5,3,9,10,9,5,15,6,3,1,9,6,12,2,18,11,3,3,5,4,6,1,4,9,5,7,5,8,8,0,19,6,7,6,20,14,12,7,19,6,15,6,17,2,0,11,0,6,2,5,6,8,12,14,12,17,4,6,21,1,4,1,8,7,7,34,7,7,0,18,5,8,6,11,13,10,3,4,17,4,0,1,4,42,2,24,9,1,52,4,38,23,2,7,3,11,5,21,29,8,2,11,5,11,9,4,4,10,11,14,13,8,5,5,3,15,10,19,11,5,15,6,16,7,4
nh0050,1,1,2,7,7,3,0,16,7,2,0,0,3,6,5,3,0,3,1,4,1,0,2,2,1,5,0,3,1,1,2,2,12,1,0,3,0,1,8,2,0,0,1,3,10,2,1,5,0,0,3,0,0,2,3,2,1,2,1,3,2,1,5,5,5,1,0,6,8,2,8,2,1,0,0,0,0,0,1,0,0,3,3,4,1,5,3,2,2,4,2,0,1,2,1,1,9,3,4,1,0,0,2,0,0,0,4,5,2,0,1,1,3,18,3,1,4,0,0,1,2,3,0,2,3,5,0,2,1,1,2,1,2,0,2,1,4,2,2,21,3,5,3,2,22,3,0,1,0,1,2,0,2,4,1,2,2,2,0,1,1,6,2,1,2,4,1,0,2,1,1,2,7,0,2,0,9,5,2,1,0,2,0,0,2,0,2,2,2,4,12,0,6,1,1,4,1,0,1,3,1,0,0,0,2,4,2,2,2,0,0,3,2,0,1,2,0,0,3,1,1,0,11,0,2,1,2,0,0,1,0,0,2,3,5,0,1,13,6,1,6,6,1,1,0,1,7,0,4,4,0,0,1,0,6,8,2,0,1,3,0,0,4,2,0,2,6,1,0,0,2,2,1,1,4,0,7,2,3,2,3,0,3,2,2,2,2,1,11,4,2,4,3,0,2,1,3,7,3,3,1,2,0,0,4,3,3,2,5,3,5,1,2,1,1,6,12,4,1,0,5,1,0,3,6,1,0,5,1,0,5,2,6,1,2,4,4,1,1,3,1,2,3,9,4,1,2,2,6,9,5,5,1,0,5,0,0,1,1,3,1,1,1,6,0,2,0,1,1,0,0,2,0,1,3,3,2,5,4,0,2,4,1,12,7,1,6,7,1,10,13,3,3,0,5,1,1,2,0,5,2,0,0,3,1,0,5,0,2,2,2,2,2,4,0,8,1,5,2,0,4,0,9,1,3,0,2,1,3,8,5,0,1,3,5,1,1,3,0,5,2,1,2,1,6,5,1,3,2,8,2,2,1,2,3,1,3,4,15,4,2,4,4,15,4,23,11,3,3,3,2,3,8,14,4,7,5,0,4,5,2,2,0,4,4,3,1,2,3,3,3,3,0,8,2,0,8,2,0,0
nh0051,0,3,1,2,10,4,0,18,0,6,0,4,21,9,0,9,0,6,2,1,9,0,9,3,6,1,0,16,1,4,1,0,19,1,2,0,6,5,10,4,17,11,9,10,4,26,3,0,1,7,0,18,5,5,2,10,2,5,5,4,2,11,20,16,6,4,4,3,13,1,6,2,6,2,2,6,3,10,10,0,3,16,5,4,5,4,3,10,4,1,1,0,4,2,5,1,0,0,9,5,14,4,8,4,6,1,3,13,5,1,1,2,7,15,3,3,12,0,2,21,13,9,3,6,4,10,2,14,0,0,3,8,3,3,1,6,18,3,2,26,0,11,3,11,0,0,4,5,2,4,2,4,5,5,13,7,6,4,5,0,13,20,4,12,3,9,8,0,2,5,3,3,8,3,4,0,4,7,0,9,10,5,10,8,2,0,8,5,2,2,6,7,7,9,10,11,3,0,3,10,13,4,2,3,0,24,6,8,6,5,4,5,1,5,5,1,0,3,6,5,2,4,8,0,0,3,20,3,17,2,2,8,3,6,10,9,10,8,1,8,10,5,2,1,0,2,26,5,3,7,6,9,2,1,5,18,5,6,5,5,1,2,3,5,4,12,6,5,10,7,3,4,2,4,6,4,5,1,1,2,0,3,7,3,5,9,5,2,9,5,1,16,13,2,0,1,5,3,12,5,7,13,3,7,6,5,7,3,0,2,6,5,5,4,2,4,12,0,9,2,3,12,8,0,17,6,5,9,7,4,6,2,1,2,3,5,5,3,9,10,4,16,14,12,4,6,1,4,2,16,17,3,7,6,0,4,6,0,2,3,2,0,1,15,0,0,0,2,7,2,0,2,2,1,4,5,1,2,3,2,0,5,0,2,8,37,0,2,3,4,15,3,10,5,4,6,8,5,4,1,4,2,5,16,6,9,4,1,6,6,12,6,1,5,3,13,3,9,2,0,19,0,3,5,1,5,4,0,1,9,13,2,6,8,5,2,0,6,1,5,0,8,3,8,7,1,4,9,6,32,2,6,6,7,10,1,8,9,15,9,4,16,9,12,7,34,14,6,10,5,3,5,20,18,9,17,8,6,14,14,3,2,6,12,6,7,5,0,9,1,2,5,1,3,3,0,3,4,0,0
nh0052,7,3,2,2,7,10,0,12,0,0,0,1,20,12,3,0,0,0,8,9,6,10,12,6,5,0,2,6,7,5,0,1,14,8,0,4,12,3,0,7,6,5,10,0,14,0,8,15,17,6,4,9,2,2,1,0,9,0,3,3,2,2,0,4,3,1,1,4,30,0,1,0,1,6,3,10,10,1,0,6,8,2,0,1,5,3,4,7,4,2,9,1,4,2,12,0,1,0,1,2,0,1,5,3,0,1,2,5,6,6,0,15,5,19,15,3,17,1,5,20,0,1,5,1,2,0,0,8,0,2,3,3,11,3,2,2,15,13,0,33,3,2,3,8,8,2,2,5,2,4,4,4,3,11,2,6,8,3,0,2,0,2,2,3,2,8,1,1,1,4,2,4,20,4,2,2,10,9,5,5,1,5,16,4,5,1,3,0,0,2,6,1,9,4,2,8,2,5,8,14,0,4,0,2,1,18,8,0,2,1,3,5,1,1,2,6,1,1,0,3,1,7,4,0,1,0,5,11,0,2,2,2,4,4,17,0,2,6,1,1,1,3,6,0,2,6,21,4,2,5,11,0,8,0,10,1,17,3,3,4,2,1,4,6,2,8,8,2,0,0,5,6,1,3,1,12,7,10,3,6,11,3,6,3,2,3,1,4,30,5,1,6,3,2,2,4,12,0,1,0,4,5,8,13,6,5,3,2,1,2,5,0,1,3,1,1,23,2,0,4,6,9,1,2,7,1,4,8,3,0,4,4,0,2,4,13,7,9,0,6,10,4,4,7,5,3,0,3,2,12,3,2,1,8,1,19,2,4,4,1,8,2,5,20,7,11,6,3,1,24,0,0,10,2,2,5,0,3,4,1,1,6,3,0,3,17,2,6,11,12,22,14,2,0,4,7,3,2,2,3,3,4,2,4,2,6,1,2,6,7,2,6,4,11,0,18,1,2,0,0,5,0,1,2,3,5,2,5,2,15,9,0,4,4,24,0,0,6,3,4,11,18,7,4,9,4,10,1,5,6,4,0,3,0,0,4,1,0,16,1,0,0,0,16,3,49,16,8,6,9,5,6,23,19,8,12,10,2,14,17,4,6,6,4,12,5,5,3,8,5,5,8,1,9,2,4,6,5,1,3
nh0053,10,0,0,7,4,1,5,10,0,7,0,6,32,8,1,9,3,2,11,2,12,2,4,0,2,4,2,19,6,3,14,0,27,10,8,7,2,1,0,4,0,0,3,4,17,9,0,1,0,2,6,5,4,0,3,11,3,6,8,0,13,11,3,2,11,10,6,1,2,10,5,5,1,9,1,1,1,3,4,5,1,3,5,3,1,1,0,4,14,3,0,0,6,1,6,2,0,1,6,4,0,2,6,2,1,8,6,22,7,6,0,4,1,8,1,1,1,0,1,0,0,7,3,3,4,1,2,24,0,7,6,1,2,0,0,4,12,0,3,26,4,8,2,11,3,0,0,0,1,3,3,6,4,9,8,7,2,2,0,5,0,2,7,6,1,4,6,2,50,1,7,3,0,3,5,1,6,15,4,1,3,1,4,16,1,0,9,0,11,3,4,1,2,0,5,10,2,8,7,5,1,2,11,0,4,43,8,6,4,1,1,9,5,2,8,0,5,9,4,5,11,2,3,1,0,5,0,11,5,0,4,8,1,6,3,2,1,6,2,4,2,13,7,1,9,0,1,1,2,17,2,2,0,1,5,4,1,1,8,3,2,0,5,0,3,8,6,6,5,5,4,3,5,3,5,0,0,5,3,0,11,3,1,0,11,9,1,1,7,1,7,2,1,0,1,0,1,4,0,3,7,6,2,6,0,12,11,7,7,4,19,1,2,8,8,4,17,11,4,0,2,9,7,12,16,18,6,3,6,3,1,7,0,5,2,3,8,5,18,12,3,5,4,7,4,0,0,3,0,3,3,3,4,4,5,1,2,0,0,6,1,0,0,0,7,8,2,14,3,0,3,4,5,7,13,9,6,1,9,2,2,5,6,0,2,6,0,1,11,1,17,5,8,0,5,5,0,8,9,3,5,8,5,15,0,14,3,4,4,1,12,7,2,8,6,19,5,24,5,4,27,3,0,0,3,3,3,4,5,20,12,4,4,24,1,3,5,9,3,1,19,4,3,4,21,2,1,3,8,13,0,4,13,6,1,11,8,1,8,0,23,6,4,31,2,30,8,1,1,6,1,8,7,4,3,1,1,3,5,4,0,1,6,8,6,7,2,2,4,2,10,4,12,13,4,2,1,8,7,4
nh0054,15,2,4,8,14,0,2,25,34,6,0,5,35,1,2,20,7,1,10,1,3,0,3,1,11,6,6,27,2,0,10,0,38,23,9,8,15,16,1,3,25,3,0,2,9,6,4,0,0,15,4,27,7,2,0,25,2,18,20,17,1,36,8,12,9,12,4,12,8,51,5,14,7,10,2,0,0,3,1,19,26,3,6,24,11,1,12,0,2,7,5,0,2,2,4,20,60,16,4,5,0,4,7,2,5,3,11,23,0,0,4,22,3,17,8,1,2,0,1,36,8,0,1,10,4,10,1,9,5,1,1,9,2,0,2,6,19,8,1,87,3,2,0,10,10,2,2,0,3,2,13,18,4,34,20,10,10,14,16,0,0,4,13,2,12,12,5,10,139,5,16,2,16,7,5,6,9,3,9,4,1,29,3,5,7,0,13,0,6,6,2,9,4,2,16,19,10,36,5,6,1,1,7,4,4,47,1,10,8,2,5,8,5,0,1,0,5,16,8,3,14,1,0,3,0,6,10,17,72,3,14,11,3,5,3,9,11,9,2,3,3,7,1,1,8,7,14,10,0,7,0,10,0,1,3,4,1,1,6,18,9,4,1,1,3,10,21,5,2,2,12,17,6,0,3,0,15,33,17,0,5,3,3,3,15,9,1,2,24,2,19,3,2,2,8,3,1,15,9,2,5,6,5,8,1,0,5,1,15,6,16,5,1,2,17,12,6,5,2,1,2,28,9,9,12,4,5,5,4,7,1,11,1,2,2,16,15,23,53,38,9,15,30,27,17,15,2,6,2,7,2,1,9,1,13,7,2,10,10,9,7,17,1,0,10,11,10,12,9,1,4,10,6,15,22,18,7,2,8,1,6,25,5,4,11,17,5,19,0,3,16,3,2,3,10,11,7,10,11,8,2,3,10,25,5,19,12,7,10,8,22,15,16,10,15,54,12,36,11,8,36,6,0,7,9,4,6,16,6,19,14,1,6,6,5,5,8,16,12,7,12,14,7,2,11,30,2,1,6,36,2,5,14,9,13,14,8,0,5,1,8,7,0,11,3,43,17,4,4,8,11,5,14,12,3,1,12,1,9,15,3,1,6,5,15,18,3,1,10,4,19,11,4,14,10,7,5,2,17,9
nh0055,2,0,4,4,13,0,2,25,30,4,0,4,11,7,1,9,3,0,8,0,1,0,2,1,7,11,3,19,0,1,7,0,22,13,8,9,3,8,2,0,0,3,0,1,6,3,3,0,2,2,1,6,4,0,4,13,0,7,7,0,1,8,0,11,13,4,4,6,0,27,0,7,4,8,0,3,4,0,0,11,11,0,4,10,2,0,0,0,5,6,2,0,0,2,5,48,30,42,2,2,0,2,2,1,0,4,16,15,3,1,0,14,7,2,6,0,0,1,0,1,3,0,0,9,3,1,0,11,1,5,2,2,3,0,1,2,10,3,2,51,4,3,4,15,8,1,0,1,0,0,15,7,5,16,10,0,5,0,0,0,0,0,3,1,8,9,3,4,67,0,6,3,3,1,2,2,4,0,5,0,0,3,0,2,2,0,4,0,12,3,2,5,1,1,6,18,5,19,3,0,0,0,2,1,42,16,5,3,6,2,2,2,8,3,2,1,8,19,9,1,11,0,1,0,0,1,6,3,42,1,11,7,1,3,0,4,5,4,1,1,1,10,2,1,2,1,1,14,0,6,1,6,1,7,1,6,0,0,0,5,6,7,5,2,1,6,8,0,0,1,7,9,5,1,1,1,6,12,5,0,1,0,1,0,9,1,1,0,6,1,8,4,1,3,9,1,2,3,1,5,0,2,3,5,1,1,2,2,12,5,8,0,1,2,11,2,8,2,2,5,0,8,4,4,7,3,7,0,1,1,1,4,0,6,6,5,7,0,17,9,3,15,10,19,1,5,0,3,1,0,0,3,6,2,9,2,4,1,2,12,4,5,0,0,2,4,0,5,9,1,5,5,7,4,14,12,5,2,6,0,2,1,2,1,0,3,3,11,4,4,15,5,3,2,13,3,0,13,6,0,3,3,4,8,4,4,7,0,5,0,16,6,6,2,15,36,5,18,11,0,36,22,0,2,9,2,3,2,1,14,5,5,3,7,0,5,0,6,10,2,5,5,5,3,3,16,1,1,1,19,2,9,7,8,13,15,9,0,2,1,5,8,1,13,4,17,6,1,2,3,3,4,6,7,4,5,1,1,5,6,5,1,3,1,3,7,2,1,4,1,8,6,2,7,5,3,5,2,7,3
nh0056,4,1,4,3,16,0,3,33,5,0,0,9,23,2,2,11,1,0,12,1,5,1,2,0,11,4,4,18,3,0,5,0,22,2,2,6,5,6,1,3,5,4,1,0,5,11,1,0,0,1,1,13,0,1,0,10,7,13,10,3,0,20,2,4,7,3,6,1,6,32,1,15,0,2,0,1,1,2,1,11,9,2,2,14,3,0,0,0,0,2,5,0,2,0,4,39,13,16,1,9,0,4,1,5,3,0,4,11,2,3,1,5,1,15,5,3,4,0,0,5,8,2,1,6,9,2,0,11,1,5,0,7,1,0,2,2,5,5,1,58,3,0,2,12,14,3,0,0,3,0,11,13,3,22,9,1,4,0,3,0,0,0,8,1,7,9,3,5,62,3,10,3,3,3,3,3,1,4,0,3,0,2,0,1,4,0,2,0,7,4,2,13,2,1,9,17,7,23,6,3,0,0,0,3,28,30,1,6,6,0,0,5,4,0,3,0,7,10,7,2,19,0,2,1,0,3,2,3,31,0,12,10,1,1,1,2,6,7,4,3,1,5,0,1,4,1,8,6,1,5,1,8,2,4,2,4,0,1,9,5,9,0,2,2,2,6,5,0,1,4,7,8,4,2,4,2,10,17,5,2,5,1,1,0,3,7,0,4,11,5,7,5,4,2,7,0,3,10,0,5,2,7,12,4,1,0,4,3,11,2,28,3,0,8,6,7,4,2,3,0,1,13,6,3,5,7,5,2,3,3,0,6,1,7,2,8,10,6,32,21,7,11,13,12,13,19,2,4,0,4,4,0,4,0,10,6,0,3,5,12,6,4,0,0,5,6,3,6,10,0,4,15,6,6,26,10,5,9,2,0,3,13,6,1,2,13,3,11,1,3,14,6,5,2,8,4,2,7,14,2,3,3,15,16,2,21,8,2,8,8,29,6,17,4,5,33,5,24,16,8,29,11,0,3,6,3,5,2,1,20,11,4,4,10,0,0,3,7,2,1,6,3,5,6,6,8,2,8,1,26,2,7,6,3,5,19,15,0,7,3,6,7,0,15,4,11,11,3,4,7,1,7,4,6,1,5,1,6,3,2,2,1,3,7,8,7,2,1,11,1,23,11,1,10,9,8,2,1,8,3
nh0057,1,1,4,3,2,1,2,10,0,0,0,0,4,0,1,2,0,2,0,1,0,0,2,1,1,0,0,5,1,0,4,4,6,3,0,5,0,1,1,2,0,2,0,5,0,5,0,3,0,2,1,4,0,3,2,2,4,0,3,2,1,6,0,4,1,5,4,0,0,0,2,1,0,0,0,0,0,0,3,0,6,3,4,4,4,3,3,7,0,0,4,0,6,2,8,0,0,2,8,1,0,2,11,6,3,5,7,6,3,1,1,3,3,3,1,6,2,0,1,0,2,2,3,5,0,8,4,4,7,4,2,4,1,2,5,1,18,3,2,12,1,6,3,8,1,0,0,0,4,2,2,2,8,2,10,1,2,1,0,1,0,0,6,0,4,4,5,0,2,1,10,2,3,3,1,1,0,3,0,1,1,0,2,1,1,0,2,0,1,4,6,0,4,2,0,2,3,0,2,2,2,0,4,4,1,3,0,2,0,3,2,7,2,1,1,1,7,5,6,1,3,0,1,1,4,1,1,1,1,3,0,1,1,1,3,1,0,0,0,0,2,3,3,0,2,3,2,2,2,3,0,4,1,0,3,3,0,1,8,1,0,9,6,5,2,6,3,0,0,1,1,1,2,3,4,1,11,0,3,0,5,0,0,2,0,0,8,1,0,1,2,7,3,1,0,1,0,7,2,1,6,0,0,5,2,4,3,6,0,0,2,5,2,0,2,3,8,1,0,1,5,4,1,0,4,0,2,2,0,0,4,1,0,0,0,2,23,3,1,5,7,8,0,17,1,1,3,2,1,6,1,4,4,2,0,3,3,2,4,11,1,0,2,2,3,3,2,0,3,2,3,4,3,0,7,1,1,1,0,3,1,5,5,7,1,8,2,2,1,1,11,1,1,5,4,1,1,0,0,3,2,4,1,1,0,0,5,1,3,3,0,8,2,9,0,15,3,1,0,0,8,3,13,9,1,0,1,0,0,3,2,2,3,0,2,1,1,2,4,1,0,3,2,1,2,0,4,4,5,11,4,1,3,3,3,9,2,1,11,0,4,0,7,12,2,20,7,4,6,4,2,0,7,6,1,3,1,2,2,2,0,0,3,0,7,3,0,1,1,3,4,1,0,1,6,4,8,0,0,0
nh0058,2,3,1,2,0,6,5,4,0,3,2,4,9,3,1,4,1,1,1,3,7,4,3,3,5,0,1,7,9,2,10,0,24,1,1,8,4,1,0,0,6,1,1,0,7,3,1,2,1,2,7,0,0,0,2,2,3,1,3,3,2,0,0,1,0,0,1,1,1,5,0,1,0,0,6,3,3,2,1,2,1,2,1,3,2,0,1,0,1,3,0,0,0,0,2,0,1,0,0,4,0,0,3,0,2,1,1,12,1,6,1,1,7,11,7,1,3,0,2,2,8,3,3,3,0,1,2,4,1,1,3,4,1,1,4,0,4,0,6,11,0,2,4,5,1,0,0,0,0,0,0,2,0,2,1,1,5,1,1,3,1,1,3,0,1,1,1,1,1,0,5,0,3,0,0,0,0,3,0,2,0,0,1,0,3,0,0,1,1,2,1,1,1,1,3,0,3,0,0,2,2,3,1,0,2,8,2,4,2,0,0,1,0,0,4,3,3,2,3,0,0,1,3,1,0,5,2,4,5,0,0,1,4,1,3,2,1,4,3,0,5,6,1,0,1,7,8,4,1,2,2,1,0,0,3,2,2,1,0,1,0,0,0,3,0,1,4,1,0,0,1,4,4,3,5,4,2,0,0,1,1,1,0,0,2,3,10,4,18,4,3,0,3,3,0,1,3,0,5,0,5,4,2,2,0,1,1,1,8,2,2,0,0,1,4,0,13,4,1,6,1,3,0,7,1,2,0,1,3,4,2,1,0,2,1,1,2,0,3,4,0,1,1,6,4,0,3,0,0,3,1,0,1,1,7,0,0,1,0,1,2,1,0,2,6,0,1,0,0,3,0,1,2,2,2,2,2,3,4,7,0,2,1,2,1,4,5,3,5,1,10,0,3,0,1,3,0,2,1,1,1,0,1,3,0,2,0,0,0,1,3,3,2,2,5,11,0,4,0,1,4,1,0,0,0,1,0,1,0,7,9,2,1,1,0,3,2,9,3,1,2,4,8,1,0,1,0,0,3,3,1,0,0,1,1,4,0,0,4,0,5,0,1,11,0,18,5,1,2,1,2,5,6,6,0,4,2,1,5,3,0,3,2,0,1,5,1,1,1,1,0,0,2,0,2,1,2,0,3,0
nh0059,0,0,1,2,1,1,0,6,0,5,1,0,11,5,1,1,0,1,1,3,1,1,1,4,0,1,0,6,1,1,2,4,4,0,0,10,2,0,2,1,0,1,0,0,7,6,0,0,0,3,0,1,0,0,0,4,0,0,1,0,0,6,0,4,3,0,2,0,0,0,1,7,2,1,1,0,0,4,3,0,1,2,3,3,0,0,0,2,1,1,1,0,3,0,3,0,0,0,4,0,0,3,1,1,0,1,1,19,1,3,1,2,4,7,0,2,1,0,0,0,0,1,2,0,3,1,0,7,7,0,4,4,4,0,3,5,8,1,3,13,0,7,0,16,0,0,0,0,2,1,3,2,1,2,3,2,0,2,0,0,0,0,3,3,2,8,2,0,5,1,3,0,7,0,0,1,2,0,1,0,0,0,0,3,1,0,1,3,2,2,0,2,3,0,2,1,1,0,0,8,0,28,0,0,0,12,3,1,0,0,0,4,0,0,0,2,1,2,5,2,6,0,5,1,4,0,0,1,1,0,0,0,2,1,10,1,0,0,7,2,11,6,8,0,0,8,2,0,2,2,0,1,0,1,2,6,5,1,2,3,3,0,1,0,1,4,0,0,1,4,1,4,5,0,4,0,0,1,0,0,2,0,2,0,0,2,2,1,1,1,0,1,1,2,2,0,0,2,0,4,2,1,2,2,0,1,1,2,1,2,0,0,2,0,3,3,13,3,2,0,3,3,1,0,3,5,1,1,0,0,4,0,0,2,2,2,3,2,2,3,0,0,1,1,0,0,0,3,1,0,3,0,4,1,1,0,1,2,2,1,1,2,0,0,1,2,0,1,0,2,1,0,6,2,2,2,1,0,4,0,0,2,0,3,0,0,0,6,1,5,4,0,2,3,4,5,1,2,0,0,2,0,2,7,4,2,0,1,0,0,3,3,3,2,4,4,2,12,5,0,10,1,0,0,1,0,2,0,1,1,1,1,0,0,0,5,1,1,2,2,1,6,7,4,0,0,3,6,3,9,2,3,2,2,8,1,7,4,2,1,8,4,1,7,3,13,7,3,1,2,4,5,17,9,11,7,6,3,7,5,7,4,4,0,1,1,0,4,0,3,6,2,0,0,2,4,0,0,0,0
